coach_name,team,start_date,end_date
Dean Smith,Leicester City,2023-04-10,2023-06-16
Steve Cooper,Leicester City,2024-06-20,2024-11-24
Ruud van Nistelrooy,Leicester City,2024-12-01,2025-06-27
Brendan Rodgers,Liverpool,2015-07-01,2015-10-04
Jürgen Klopp,Liverpool,2015-10-08,2024-05-19
Arne Slot,Liverpool,2024-06-01,
Rob Edwards,Luton Town,2022-11-17,2025-01-09
Manuel Pellegrini,Manchester City,2015-07-01,2016-06-30
Pep Guardiola,Manchester City,2016-07-01,
Louis van Gaal,Manchester United,2015-07-01,2016-05-23
José Mourinho,Manchester United,2016-05-27,2018-12-18
Ole Gunnar Solskjær,Manchester United,2018-12-19,2021-11-21
Erik ten Hag,Manchester United,2022-06-01,2024-10-28
Ruben Amorim,Manchester United,2024-11-11,2026-01-05
Aitor Karanka,Middlesbrough,2015-07-01,2017-03-16
Steve McClaren,Newcastle United,2015-07-01,2016-03-11
Rafael Benítez,Newcastle United,2016-03-11,2019-06-30
Steve Bruce,Newcastle United,2019-07-17,2021-10-20
Eddie Howe,Newcastle United,2021-11-08,
Alex Neil,Norwich City,2015-07-01,2017-03-10
Daniel Farke,Norwich City,2017-05-25,2021-11-06
Dean Smith,Norwich City,2021-11-15,2022-12-27
Steve Cooper,Nottingham Forest,2021-09-21,2023-12-19
Nuno Espírito Santo,Nottingham Forest,2023-12-20,2025-09-09
Ange Postecoglou,Nottingham Forest,2025-09-09,2025-10-18
Sean Dyche,Nottingham Forest,2025-10-21,
Chris Ramsey,Queens Park Rangers,2015-07-01,2015-11-04
Chris Wilder,Sheffield United,2016-05-12,2021-03-13
Paul Heckingbottom,Sheffield United,2021-11-25,2023-12-05
Chris Wilder,Sheffield United,2023-12-05,2025-06-18
Ronald Koeman,Southampton,2015-07-01,2016-06-14
Claude Puel,Southampton,2016-06-30,2017-06-14
Mauricio Pellegrino,Southampton,2017-06-23,2018-03-12
Mark Hughes,Southampton,2018-03-14,2018-12-03
Ralph Hasenhüttl,Southampton,2018-12-06,2022-11-07
Nathan Jones,Southampton,2022-11-10,2023-02-12
Rubén Sellés,Southampton,2023-02-12,2023-05-28
Russell Martin,Southampton,2023-06-21,2024-12-15
Ivan Jurić,Southampton,2024-12-23,2025-04-07
Mark Hughes,Stoke City,2015-07-01,2018-01-06
Paul Lambert,Stoke City,2018-01-15,2018-05-18
Dick Advocaat,Sunderland,2015-07-01,2015-10-04
Sam Allardyce,Sunderland,2015-10-09,2016-07-22
David Moyes,Sunderland,2016-07-23,2017-05-22
Régis Le Bris,Sunderland,2024-07-01,
Garry Monk,Swansea City,2015-07-01,2015-12-09
Francesco Guidolin,Swansea City,2016-01-18,2016-10-03
Bob Bradley,Swansea City,2016-10-03,2016-12-27
Paul Clement,Swansea City,2017-01-03,2017-12-20
Carlos Carvalhal,Swansea City,2017-12-28,2018-05-18
Mauricio Pochettino,Tottenham Hotspur,2015-07-01,2019-11-19
José Mourinho,Tottenham Hotspur,2019-11-20,2021-04-19
Nuno Espírito Santo,Tottenham Hotspur,2021-06-30,2021-11-01
Antonio Conte,Tottenham Hotspur,2021-11-02,2023-03-26
Ange Postecoglou,Tottenham Hotspur,2023-06-06,2025-06-06
Thomas Frank,Tottenham Hotspur,2025-06-12,
Quique Sánchez Flores,Watford,2015-07-01,2016-05-15
Walter Mazzarri,Watford,2016-07-01,2017-05-21
Marco Silva,Watford,2017-05-27,2018-01-21
Javi Gracia,Watford,2018-01-21,2019-09-07
Quique Sánchez Flores,Watford,2019-09-07,2019-12-01
Nigel Pearson,Watford,2019-12-08,2020-07-19
Xisco Muñoz,Watford,2020-12-20,2021-10-03
Claudio Ranieri,Watford,2021-10-04,2022-01-24
Roy Hodgson,Watford,2022-01-25,2022-05-22
Tony Pulis,West Bromwich Albion,2015-07-01,2017-11-20
Alan Pardew,West Bromwich Albion,2017-11-29,2018-04-02
Darren Moore,West Bromwich Albion,2018-04-02,2019-03-09
Slaven Bilić,West Bromwich Albion,2019-06-13,2020-12-16
Sam Allardyce,West Bromwich Albion,2020-12-16,2021-05-23
Slaven Bilić,West Ham United,2015-07-01,2017-11-06
David Moyes,West Ham United,2017-11-07,2018-05-16
Manuel Pellegrini,West Ham United,2018-05-22,2019-12-28
David Moyes,West Ham United,2019-12-29,2024-05-19
Julen Lopetegui,West Ham United,2024-07-01,2025-01-08
Graham Potter,West Ham United,2025-01-09,2025-09-27
Nuno Espírito Santo,West Ham United,2025-09-27,
Nuno Espírito Santo,Wolverhampton Wanderers,2017-05-31,2021-05-23
Bruno Lage,Wolverhampton Wanderers,2021-06-09,2022-10-02
Julen Lopetegui,Wolverhampton Wanderers,2022-11-14,2023-08-08
Gary O'Neil,Wolverhampton Wanderers,2023-08-09,2024-12-15
Vítor Pereira,Wolverhampton Wanderers,2024-12-19,2025-11-02
Rob Edwards,Wolverhampton Wanderers,2025-11-12,
